"t"	"Luma"	"Luminance"	"Shutter Speed (s)"	"Aperture (f/N)"	"ISO"
8.795544224E0	9.563660991E-1	1.510637309E1	6.879817000E-3	1.799999952E0	2.500000000E1
8.828878532E0	9.449537216E-1	1.555966236E1	6.535826000E-3	1.799999952E0	2.500000000E1
8.896023070E0	9.377700916E-1	1.610842569E1	6.209034000E-3	1.799999952E0	2.500000000E1
8.929834147E0	9.274380805E-1	1.662219218E1	5.898582000E-3	1.799999952E0	2.500000000E1
8.963628339E0	9.205446981E-1	1.707870128E1	5.603652000E-3	1.799999952E0	2.500000000E1
9.030728339E0	9.107407766E-1	1.772109808E1	5.323469000E-3	1.799999952E0	2.500000000E1
9.064472186E0	9.008280121E-1	1.829424429E1	5.057295000E-3	1.799999952E0	2.500000000E1
9.131529455E0	8.929671375E-1	1.880003557E1	4.804430000E-3	1.799999952E0	2.500000000E1
9.165237262E0	8.816031347E-1	1.928307037E1	4.564208000E-3	1.799999952E0	2.500000000E1
9.198923801E0	8.727304244E-1	1.987775236E1	4.335997000E-3	1.799999952E0	2.500000000E1
9.232595147E0	8.630272833E-1	2.047343575E1	4.119197000E-3	1.799999952E0	2.500000000E1
9.266246070E0	8.545657572E-1	2.099748278E1	3.913237000E-3	1.799999952E0	2.500000000E1
9.333220339E0	8.479908411E-1	2.157435376E1	3.717575000E-3	1.799999952E0	2.500000000E1
9.366838801E0	8.375782056E-1	2.220744262E1	3.531696000E-3	1.799999952E0	2.500000000E1
9.400174570E0	8.365220266E-1	2.333497544E1	3.355111000E-3	1.799999952E0	2.500000000E1
9.434042608E0	8.149832301E-1	2.329973838E1	3.187355000E-3	1.799999952E0	2.500000000E1
9.500959416E0	8.029943885E-1	2.391626400E1	3.027987000E-3	1.799999952E0	2.500000000E1
9.567863185E0	7.978626483E-1	2.473176101E1	2.876587000E-3	1.799999952E0	2.500000000E1
9.601418570E0	7.907394866E-1	2.547387451E1	2.732757000E-3	1.799999952E0	2.500000000E1
9.702034224E0	7.703616809E-1	2.540352941E1	2.596119000E-3	1.799999952E0	2.500000000E1
9.735367070E0	7.697368421E-1	2.829674288E1	2.342997000E-3	1.799999952E0	2.500000000E1
9.768877185E0	7.624484004E-1	2.776252178E1	2.342997000E-3	1.799999952E0	2.500000000E1
