"t"	"x"	"y"	"z"	"magnitud"
1.165300516E0	1.270005608E1	-1.591865349E1	-5.292988777E0	2.104069113E1
1.173534747E0	1.522088432E1	-1.527771091E1	-5.169712067E0	2.217678275E1
1.181768208E0	1.641529274E1	-1.458287907E1	-4.807720184E0	2.247746362E1
1.190003324E0	1.664327812E1	-1.407418060E1	-4.270590305E0	2.221079035E1
1.198236939E0	1.643354416E1	-1.325889301E1	-3.257054329E0	2.136511223E1
1.206470401E0	1.663327789E1	-1.248355198E1	-2.078752518E0	2.090038793E1
1.214705131E0	1.737765884E1	-1.142057991E1	-1.531930447E0	2.085088687E1
1.222938016E0	1.828897476E1	-8.803387642E0	-1.947590351E0	2.039066796E1
1.231171093E0	1.944726372E1	-6.184258938E0	-2.433190823E0	2.055143650E1
1.239406439E0	2.056026459E1	-3.132013798E0	-2.837079525E0	2.099006933E1
1.247641593E0	2.045835495E1	1.200044870E0	-2.862278461E0	2.069243903E1
1.255884785E0	1.968521118E1	6.519982338E0	-2.087377071E0	2.084166145E1
1.264119593E0	1.974313927E1	1.101595306E1	-5.142908096E-1	2.261431549E1
1.272355208E0	2.097651100E1	1.284405231E1	1.259080887E0	2.462862112E1
1.280590016E0	2.222530937E1	1.385403156E1	4.025053024E0	2.649716247E1
1.288823400E0	2.272534180E1	1.463732529E1	8.976395607E0	2.848276899E1
1.297058323E0	2.284192276E1	1.483853626E1	1.569619656E1	3.143733736E1
1.305292823E0	2.370145988E1	1.434531116E1	2.326351929E1	3.617649075E1
1.313526862E0	2.436378670E1	1.356621361E1	2.828775978E1	3.972195372E1
1.321759746E0	2.275078583E1	1.238148499E1	3.462937546E1	4.324457273E1
1.329993054E0	2.015780258E1	1.051963043E1	4.096263885E1	4.685015914E1
1.338226169E0	1.674140739E1	8.044013023E0	4.459310913E1	4.830658598E1
1.346459439E0	1.303937721E1	4.818564415E0	4.498325729E1	4.708224037E1
1.354694631E0	1.017971611E1	1.351983070E0	4.201042557E1	4.324731592E1
1.362929900E0	9.799544334E0	-3.068121433E0	3.641867447E1	3.783866129E1
1.371163938E0	1.112384415E1	-7.623318672E0	2.976696396E1	3.267915298E1
1.379398285E0	1.236367512E1	-1.154954338E1	2.354414558E1	2.899274402E1
1.387633054E0	1.168023300E1	-1.437754822E1	1.846867752E1	2.615786278E1
1.395867285E0	9.471643448E0	-1.630321503E1	1.534159660E1	2.430784721E1
1.404100669E0	5.888859272E0	-1.751745605E1	1.117021942E1	2.159429860E1
1.412334592E0	2.036726952E0	-1.825356483E1	6.485699654E0	1.947832605E1
1.420569477E0	-1.041729450E0	-1.832505608E1	3.071224213E0	1.860981726E1
1.428804938E0	-3.139858007E0	-1.748698425E1	1.458571434E0	1.782640618E1
1.437040054E0	-4.579078197E0	-1.621987343E1	2.356553078E-1	1.685549716E1
1.445273707E0	-5.373376369E0	-1.530665588E1	-1.480234385E0	1.628981221E1
1.453508554E0	-4.862740040E0	-1.503374672E1	-2.514826059E0	1.599950409E1
1.461742938E0	-2.971189499E0	-1.461636734E1	-3.941939354E0	1.542741220E1
1.469977169E0	-1.919355392E-1	-1.397500420E1	-7.703730583E0	1.595885480E1
1.478211669E0	1.657624483E0	-1.521065235E1	-9.836225510E0	1.818963980E1
1.486445592E0	2.363663435E0	-1.757571030E1	-9.327047348E0	2.003712328E1
1.494678976E0	1.119573593E0	-2.047939682E1	-6.556665897E0	2.153251046E1
1.502920438E0	-7.777771950E-1	-2.351654816E1	-1.613991857E0	2.358469725E1
1.511153399E0	-2.596286297E0	-2.630015182E1	5.412897110E0	2.697662217E1
1.519386476E0	-3.924580097E0	-2.778443718E1	1.057793331E1	2.998783006E1
1.527620976E0	-4.093426228E0	-2.880838776E1	1.367749596E1	3.215203320E1
1.535854669E0	-3.204761028E0	-3.036537552E1	1.444027328E1	3.377644173E1
1.544087515E0	-2.377205372E0	-3.195890236E1	1.333829689E1	3.471214066E1
1.552322169E0	-7.470030785E-1	-3.284835052E1	1.049781227E1	3.449313277E1
1.560558130E0	5.358984470E-1	-3.296941376E1	6.908232689E0	3.368965879E1
1.568793322E0	1.493791819E0	-3.286753845E1	2.521634579E0	3.299795659E1
1.577028515E0	1.551142931E0	-3.207703781E1	-1.340987325E0	3.214250529E1
1.585261822E0	1.392550111E0	-3.127548218E1	-3.477339983E0	3.149899799E1
1.593496822E0	4.857041836E-1	-2.987788391E1	-4.051133633E0	3.015519092E1
1.601731361E0	-2.613104582E-1	-2.893728638E1	-3.383850098E0	2.913563570E1
1.609965784E0	-4.836082458E-3	-2.905234528E1	-2.159883261E0	2.913252281E1
1.618200861E0	1.853194237E0	-2.910316277E1	-8.250672817E-1	2.917377500E1
1.626437361E0	5.146354198E0	-2.821660614E1	1.222591698E-1	2.868234249E1
1.634671822E0	9.364861488E0	-2.645891762E1	1.595154405E0	2.811262118E1
1.642906630E0	1.626155472E1	-2.213389397E1	1.871228218E0	2.752905590E1
1.651140591E0	2.169147873E1	-1.489224243E1	1.238310814E0	2.634070135E1
